x1,x2,u
-0.280000,0.180000,0.422630
-0.480000,0.180000,0.360808
0.720000,0.700000,0.839501
0.700000,-0.660000,0.347041
0.180000,-0.440000,0.506366
0.460000,0.380000,0.662913
-0.300000,0.260000,0.417932
0.700000,-0.020000,0.517862
-0.520000,0.820000,0.342729
0.920000,0.520000,0.757334
-0.700000,0.220000,0.307884
-0.200000,0.240000,0.455577
0.800000,0.720000,0.853336
-0.200000,-0.500000,0.452861
-0.700000,-0.220000,0.302020
-0.980000,-0.440000,-0.425144
-0.680000,0.180000,0.339499
-0.340000,0.780000,0.513587
-0.120000,0.500000,0.548878
-0.860000,0.860000,-0.189366
-0.760000,0.420000,0.034757
0.140000,-0.940000,0.793806
-0.940000,0.960000,-0.082776
0.600000,0.520000,0.740662
0.100000,0.280000,0.560427
0.320000,0.940000,0.957843
0.200000,-0.460000,0.508875
-0.300000,-0.940000,0.646867
0.880000,0.880000,0.938102
-0.900000,0.480000,-0.327195
-0.900000,0.260000,0.274706
-0.340000,0.700000,0.473255
0.740000,-0.340000,0.406402
-0.740000,-0.740000,-0.065137
-0.760000,0.360000,0.117266
0.520000,0.520000,0.733341
-0.820000,0.280000,0.220829
-0.160000,-0.620000,0.513242
-0.420000,0.520000,0.352629
0.260000,0.400000,0.639810
0.180000,-0.940000,0.763880
0.420000,0.360000,0.649763
-0.700000,0.100000,0.394202
-0.160000,-0.440000,0.454725
0.940000,-0.600000,0.232275
-0.900000,-0.520000,-0.411380
0.960000,-0.380000,0.323411
0.900000,0.020000,0.518449
-0.500000,-0.040000,0.373479
0.720000,-0.920000,0.291838
-0.240000,-0.780000,0.565304
-0.880000,0.560000,-0.408693
0.480000,-0.420000,0.460542
-0.300000,-0.280000,0.391864
0.400000,0.280000,0.616113
-0.400000,0.560000,0.375187
0.340000,-0.480000,0.492969
0.740000,0.060000,0.545783
-0.080000,0.560000,0.592843
0.120000,-0.020000,0.501629
-0.340000,-0.020000,0.399667
0.620000,-0.740000,0.386187
0.640000,0.140000,0.578688
-0.740000,0.300000,0.211588
-0.040000,-0.300000,0.467255
0.620000,-0.940000,0.380546
0.080000,0.000000,0.497714
-0.820000,0.120000,0.469806
-0.920000,0.580000,-0.569298
0.700000,-0.120000,0.483298
0.160000,0.920000,0.929535
-0.640000,-0.960000,0.314355
-0.740000,0.480000,-0.004600
0.680000,-0.480000,0.390255
-0.500000,0.980000,0.484037
0.180000,0.320000,0.592549
-0.380000,-0.320000,0.357372
0.560000,-0.400000,0.442204
-0.040000,-0.280000,0.465847
-0.120000,-0.920000,0.776428
0.640000,-0.160000,0.478387
-0.820000,0.600000,-0.270188
0.640000,-0.020000,0.521684
0.280000,0.580000,0.727155
-0.700000,-0.640000,-0.016875
0.820000,-0.440000,0.348674
0.600000,-0.740000,0.398941
0.460000,-0.420000,0.465273
0.900000,-0.800000,0.175803
0.340000,0.000000,0.528054
