x1,x2,u
0.640000,-0.420000,0.423602
-0.500000,-0.360000,0.300147
-0.840000,0.420000,-0.074155
-0.020000,-0.060000,0.490790
0.680000,-0.660000,0.362794
0.860000,0.700000,0.847095
0.880000,0.140000,0.577740
0.940000,-0.180000,0.423094
-0.880000,0.800000,-0.353670
0.820000,-0.060000,0.496510
0.980000,-0.140000,0.433900
-0.880000,0.040000,0.632919
0.060000,-0.920000,0.817612
-0.480000,-0.300000,0.328895
0.100000,-0.040000,0.514013
-0.600000,-0.760000,0.193293
-0.420000,0.540000,0.364074
-0.520000,0.120000,0.377599
0.100000,-0.260000,0.502309
-0.980000,0.580000,-0.819808
-0.120000,0.360000,0.523150
0.360000,0.700000,0.814584
0.880000,-0.100000,0.470482
0.400000,0.960000,0.974844
-0.400000,0.600000,0.392005
0.320000,-0.940000,0.650005
-0.780000,0.780000,-0.113792
-0.380000,0.420000,0.390532
0.360000,-0.200000,0.509540
-0.660000,0.800000,0.135617
-0.520000,-0.380000,0.281021
0.560000,-0.380000,0.454558
-0.080000,-0.920000,0.803277
-0.940000,0.400000,-0.190935
0.880000,-0.240000,0.410583
-0.100000,-0.020000,0.476205
0.740000,0.420000,0.707431
-0.680000,-0.580000,0.030734
-0.860000,0.020000,0.601769
0.880000,0.280000,0.642782
-0.160000,0.080000,0.469323
0.420000,0.360000,0.661705
-0.060000,0.360000,0.547379
-0.100000,0.900000,0.804661
-0.540000,0.720000,0.269049
0.940000,0.760000,0.878935
-0.440000,0.200000,0.382230
-0.960000,-0.540000,-0.655983
0.820000,-0.900000,0.208584
0.080000,0.540000,0.663515
0.840000,0.400000,0.699651
0.980000,0.500000,0.749759
0.860000,0.680000,0.837053
-0.340000,0.620000,0.451127
0.360000,-0.520000,0.503247
-0.640000,0.580000,0.105434
-0.860000,-0.100000,0.547538
0.180000,0.460000,0.659095
-0.160000,0.960000,0.805865
0.140000,-0.360000,0.510344
0.140000,-0.200000,0.506364
0.960000,-0.520000,0.259139
-0.780000,-0.140000,0.416229
-0.740000,-0.800000,-0.013565
0.860000,-0.540000,0.299221
-0.820000,0.760000,-0.232658
-0.960000,-0.140000,0.679463
-0.920000,0.960000,-0.050444
0.020000,-0.140000,0.493220
-0.440000,0.400000,0.350434
-0.600000,-0.340000,0.248493
0.680000,-0.300000,0.440533
-0.280000,0.720000,0.542164
0.840000,-0.340000,0.381844
0.160000,0.340000,0.609650
0.280000,0.820000,0.875474
-0.980000,0.040000,0.906481
-0.260000,0.740000,0.569016
0.240000,-0.660000,0.566677
0.660000,0.320000,0.660742
